Distance_(pixels),Gray_Value
0,36.023
1,40.495
2,43.473
3,47.069
4,48.063
5,47.130
6,45.551
7,42.678
8,38.302
9,34.488
10,30.618
11,28.835
12,29.248
13,30.580
14,33.159
15,35.828
16,38.383
17,42.532
18,45.473
19,46.874
20,46.339
21,43.897
22,40.031
23,37.189
24,33.760
25,31.451
26,30.060
27,30.441
28,32.944
29,36.986
30,40.637
31,44.082
32,46.156
33,46.479
34,46.913
35,45.831
36,42.713
37,40.437
38,36.467
39,32.143
40,29.393
41,29.101
42,30.856
43,34.012
44,38.894
45,42.789
46,46.803
47,49.783
48,51.296
49,50.410
50,49.347
51,46.910
52,41.588
53,36.238
54,31.839
55,28.920
56,27.534
57,28.246
58,32.490
59,37.409
60,42.768
61,47.641
62,51.546
63,54.739
64,57.351
65,56.048
66,52.684
67,47.284
68,40.354
69,34.273
70,29.232
71,25.108
72,24.915
73,27.896
74,31.859
75,37.737
76,45.664
77,53.174
78,58.403
79,61.743
80,61.226
81,58.369
82,53.472
83,47.928
84,40.959
85,33.533
86,29.579
87,27.727
88,27.214
89,29.459
90,34.147
91,42.040
92,49.632
93,57.456
94,61.908
95,64.068
96,64.390
97,61.278
98,54.374
99,45.787
100,39.284
101,32.251
102,27.441
103,25.965
104,26.569
105,31.028
106,37.258
107,45.359
108,53.254
109,60.648
110,66.138
111,68.723
112,66.455
113,60.271
114,52.605
115,44.090
116,36.755
117,30.516
118,26.845
119,26.071
120,28.565
121,35.144
122,43.167
123,54.189
124,64.197
125,71.364
126,74.980
127,75.452
128,72.398
129,65.911
130,56.142
131,46.516
132,36.571
133,29.161
134,25.085
135,25.465
136,30.425
137,38.473
138,49.355
139,61.683
140,72.988
141,84.626
142,91.421
143,92.646
144,88.429
145,80.242
146,70.041
147,56.739
148,43.548
149,33.702
150,27.193
151,26.629
152,31.286
153,40.216
154,52.570
155,67.313
156,81.424
157,93.943
158,103.422
159,106.999
160,106.121
161,96.819
162,82.897
163,67.774
164,53.800
165,40.625
166,31.737
167,27.735
168,29.363
169,36.738
170,50.219
171,68.001
172,85.907
173,101.813
174,113.569
175,118.629
176,119.460
177,111.298
178,98.661
179,82.153
180,64.583
181,48.335
182,38.042
183,33.914
184,34.628
185,41.202
186,54.512
187,72.491
188,92.974
189,111.760
190,125.874
191,134.568
192,134.895
193,130.511
194,119.337
195,102.377
196,83.666
197,63.899
198,49.117
199,41.183
200,40.155
201,47.706
202,59.921
203,78.203
204,99.886
205,120.826
206,141.079
207,156.213
208,163.065
209,160.710
210,149.432
211,131.958
212,109.025
213,85.935
214,65.536
215,51.949
216,45.997
217,49.920
218,62.043
219,82.282
220,106.653
221,132.484
222,156.550
223,176.822
224,190.347
225,193.749
226,186.606
227,169.735
228,146.922
229,122.345
230,97.178
231,76.034
232,62.073
233,56.847
234,62.355
235,77.862
236,99.271
237,125.813
238,154.269
239,179.205
240,197.192
241,207.411
242,206.247
243,197.264
244,179.421
245,152.692
246,124.089
247,97.218
248,75.947
249,63.447
250,59.169
251,65.933
252,82.760
253,107.472
254,136.815
255,163.381
256,186.248
257,203.547
258,210.620
259,207.457
260,193.098
261,170.797
262,144.529
263,117.323
264,92.717
265,74.550
266,64.490
267,64.879
268,73.958
269,93.191
270,119.464
271,148.861
272,174.030
273,194.813
274,209.349
275,214.329
276,207.153
277,190.322
278,165.554
279,137.315
280,108.922
281,84.476
282,67.262
283,60.281
284,62.430
285,75.140
286,95.932
287,120.961
288,148.225
289,172.868
290,190.754
291,201.452
292,201.680
293,192.694
294,172.040
295,145.632
296,117.301
297,90.479
298,69.142
299,55.974
300,49.513
301,53.722
302,66.409
303,86.024
304,109.567
305,132.626
306,150.917
307,162.061
308,165.782
309,162.612
310,151.149
311,131.054
312,107.756
313,84.472
314,63.996
315,50.100
316,42.276
317,43.347
318,53.422
319,68.715
320,88.105
321,108.398
322,127.979
323,143.069
324,150.197
325,148.251
326,137.541
327,121.598
328,100.731
329,78.478
330,59.349
331,46.444
332,40.738
333,42.269
334,53.691
335,71.297
336,93.407
337,116.385
338,136.251
339,152.762
340,161.202
341,161.224
342,154.102
343,137.526
344,116.149
345,93.476
346,73.264
347,56.708
348,46.678
349,45.745
350,54.636
351,69.761
352,92.829
353,117.681
354,142.165
355,163.081
356,175.773
357,180.014
358,172.967
359,159.167
360,140.729
361,116.777
362,93.820
363,72.164
364,56.887
365,50.810
366,54.758
367,68.977
368,90.679
369,116.644
370,142.192
371,167.647
372,187.509
373,198.985
374,200.176
375,190.512
376,171.202
377,147.226
378,120.774
379,95.374
380,74.228
381,59.993
382,54.961
383,60.972
384,75.434
385,97.313
386,121.713
387,146.997
388,170.930
389,186.101
390,193.651
391,191.227
392,180.053
393,161.765
394,137.882
395,109.384
396,82.475
397,62.407
398,49.573
399,46.930
400,52.402
401,66.224
402,85.400
403,107.225
404,127.211
405,144.336
406,155.076
407,154.962
408,148.391
409,135.327
410,115.932
411,94.064
412,74.192
413,57.202
414,46.576
415,45.391
416,52.352
417,65.736
418,84.912
419,108.936
420,132.196
421,150.539
422,163.574
423,165.363
424,161.635
425,147.992
426,127.454
427,105.148
428,82.745
429,64.067
430,50.771
431,46.119
432,51.103
433,65.896
434,87.073
435,109.918
436,137.046
437,159.621
438,177.526
439,186.776
440,184.691
441,174.645
442,157.270
443,133.223
444,108.807
445,84.224
446,66.478
447,55.818
448,54.235
449,61.319
450,77.803
451,99.853
452,125.659
453,150.628
454,171.582
455,185.862
456,191.029
457,185.718
458,171.811
459,150.823
460,125.540
461,99.592
462,76.963
463,59.503
464,50.654
465,50.252
466,59.522
467,76.918
468,99.175
469,120.696
470,140.968
471,157.868
472,166.236
473,168.365
474,159.831
475,142.820
476,120.456
477,96.132
478,75.769
479,58.698
480,47.523
481,45.075
482,51.470
483,66.763
484,87.712
485,111.826
486,133.626
487,153.477
488,164.672
489,167.900
490,162.660
491,148.923
492,129.258
493,106.760
494,83.831
495,64.924
496,52.985
497,49.927
498,57.451
499,71.991
500,91.270
501,116.449
502,143.453
503,167.089
504,185.161
505,193.486
506,191.230
507,179.709
508,161.621
509,137.489
510,110.768
511,86.121
512,66.063
513,54.019
514,50.751
515,57.091
516,70.973
517,91.940
518,117.212
519,141.046
520,159.976
521,171.200
522,172.315
523,165.455
524,151.429
525,132.625
526,108.615
527,84.523
528,65.962
529,52.998
530,47.071
531,49.496
532,62.704
533,82.648
534,107.369
535,132.078
536,152.201
537,167.192
538,175.076
539,172.783
540,161.494
541,143.164
542,121.164
543,96.432
544,73.858
545,58.441
546,49.307
547,50.097
548,59.269
549,76.321
550,100.597
551,123.823
552,146.286
553,164.931
554,176.144
555,178.294
556,171.161
557,155.066
558,132.845
559,108.580
560,84.911
561,66.016
562,53.696
563,49.665
564,54.580
565,68.130
566,88.528
567,113.697
568,138.270
569,158.712
570,174.110
571,181.638
572,177.940
573,165.905
574,146.902
575,123.106
576,97.247
577,74.664
578,58.387
579,49.077
580,49.090
581,58.094
582,74.272
583,97.746
584,122.327
585,144.112
586,161.454
587,174.063
588,174.150
589,165.277
590,150.599
591,129.701
592,105.033
593,81.980
594,62.473
595,49.629
596,46.275
597,52.559
598,67.721
599,87.887
600,110.678
601,133.380
602,153.215
603,166.875
604,171.514
605,168.049
606,155.063
607,135.079
608,112.982
609,90.198
610,67.959
611,54.291
612,48.454
613,52.255
614,65.339
615,85.601
616,111.310
617,138.915
618,163.810
619,182.922
620,193.369
621,193.792
622,185.061
623,165.324
624,141.209
625,115.196
626,89.120
627,69.142
628,53.876
629,45.509
630,49.819
631,61.715
632,80.490
633,101.582
634,121.880
635,139.805
636,151.232
637,153.708
638,149.231
639,138.008
640,120.176
641,98.019
642,78.909
643,62.055
644,51.794
645,49.721
646,57.310
647,72.863
648,97.723
649,125.775
650,153.930
651,178.494
652,195.685
653,203.849
654,203.146
655,192.362
656,173.390
657,148.132
658,119.350
659,91.884
660,70.167
661,54.825
662,48.723
663,52.572
664,64.789
665,82.230
666,103.549
667,124.502
668,142.045
669,151.868
670,156.399
671,151.433
672,138.471
673,119.986
674,98.506
675,77.353
676,59.960
677,50.093
678,48.816
679,56.605
680,71.911
681,94.846
682,121.209
683,148.578
684,173.856
685,191.346
686,200.287
687,198.180
688,186.009
689,165.775
690,140.407
691,111.907
692,87.367
693,67.829
694,54.397
695,50.104
696,55.554
697,68.367
698,86.970
699,108.491
700,131.174
701,150.260
702,161.385
703,163.022
704,155.919
705,143.398
706,124.887
707,102.135
708,80.749
709,61.800
710,50.846
711,49.025
712,56.006
713,71.223
714,92.910
715,120.249
716,146.241
717,168.651
718,185.643
719,193.056
720,190.110
721,178.320
722,157.995
723,133.635
724,107.338
725,82.975
726,62.414
727,50.489
728,47.540
729,54.582
730,69.412
731,88.866
732,110.590
733,131.954
734,149.452
735,160.421
736,163.188
737,154.308
738,139.728
739,118.781
740,96.705
741,75.969
742,58.815
743,49.971
744,50.870
745,59.806
746,77.343
747,102.811
748,131.522
749,158.344
750,180.896
751,197.460
752,202.865
753,199.026
754,186.580
755,167.513
756,140.707
757,112.508
758,86.287
759,64.120
760,51.028
761,47.903
762,53.058
763,66.755
764,85.854
765,107.965
766,129.478
767,144.659
768,152.868
769,152.587
770,146.664
771,131.589
772,110.859
773,89.787
774,69.020
775,53.463
776,44.722
777,46.195
778,55.957
779,73.267
780,95.087
781,118.854
782,143.866
783,164.468
784,176.466
785,180.838
786,176.351
787,162.823
788,142.799
789,118.461
790,93.702
791,72.581
792,57.497
793,52.293
794,57.304
795,70.303
796,92.623
797,119.249
798,145.748
799,170.817
800,191.050
801,202.195
802,203.304
803,194.591
804,175.249
805,149.827
806,122.759
807,94.784
808,70.645
809,53.564
810,46.285
811,48.220
812,58.507
813,75.496
814,95.290
815,116.055
816,133.253
817,144.706
818,148.598
819,143.953
820,130.987
821,113.063
822,92.954
823,73.522
824,57.147
825,46.948
826,44.444
827,50.566
828,64.486
829,84.484
830,109.554
831,134.803
832,155.942
833,170.952
834,178.075
835,176.436
836,164.074
837,145.874
838,123.521
839,100.128
840,77.105
841,62.078
842,54.041
843,56.332
844,68.732
845,87.126
846,109.855
847,137.474
848,162.369
849,183.195
850,196.538
851,203.181
852,197.061
853,180.672
854,158.088
855,131.304
856,103.224
857,77.719
858,59.118
859,48.779
860,48.763
861,57.400
862,73.421
863,94.639
864,117.991
865,137.483
866,151.120
867,158.992
868,157.242
869,147.400
870,132.124
871,112.907
872,90.756
873,69.347
874,54.469
875,46.648
876,47.293
877,56.501
878,73.319
879,95.207
880,119.773
881,143.210
882,159.819
883,171.331
884,174.310
885,167.186
886,151.625
887,130.065
888,105.494
889,80.864
890,63.687
891,52.085
892,49.019
893,54.619
894,67.251
895,88.034
896,113.591
897,137.302
898,158.113
899,173.520
900,178.965
901,174.627
902,161.686
903,142.208
904,119.898
905,96.488
906,74.188
907,57.066
908,47.179
909,49.555
910,59.097
911,75.711
912,96.895
913,121.974
914,144.616
915,160.984
916,171.359
917,172.742
918,164.082
919,147.069
920,124.674
921,101.274
922,79.032
923,60.595
924,49.986
925,48.742
926,56.067
927,71.327
928,93.610
929,120.081
930,146.468
931,167.425
932,181.492
933,186.221
934,181.653
935,167.038
936,147.662
937,124.069
938,96.836
939,74.953
940,59.975
941,53.296
942,55.696
943,67.929
944,88.594
945,112.521
946,137.705
947,162.469
948,181.961
949,193.783
950,194.989
951,185.959
952,169.566
953,146.342
954,119.413
955,93.332
956,71.664
957,57.608
958,51.408
959,55.324
960,69.245
961,90.350
962,114.466
963,138.485
964,160.686
965,175.917
966,183.602
967,180.940
968,169.783
969,151.155
970,126.310
971,99.126
972,74.103
973,56.973
974,46.009
975,43.542
976,50.412
977,64.260
978,81.330
979,99.841
980,118.081
981,134.502
982,143.416
983,143.219
984,134.896
985,121.271
986,103.948
987,84.469
988,65.102
989,49.504
990,40.698
991,38.895
992,44.932
993,57.617
994,73.649
995,94.338
996,114.526
997,130.235
998,138.859
999,141.270
1000,133.938
1001,120.540
1002,102.185
1003,83.353
1004,64.979
1005,50.690
1006,42.782
1007,44.156
1008,54.107
1009,73.706
1010,98.216
1011,124.564
1012,148.745
1013,170.035
1014,184.241
1015,189.256
1016,181.465
1017,165.687
1018,145.112
1019,120.996
1020,96.586
1021,76.399
1022,63.389
1023,59.987
1024,65.858
1025,81.544
1026,105.164
1027,133.365
1028,165.193
1029,192.837
1030,211.755
